Name_of_Saint,Memorial,gender,birth_year,place_of_birth,country,death_year,death_place,death_country,vocation,veneration_year,Venerated_by,beatified_year,beatified_by,canonized_year,canonized_by
Saint Patrick of Málaga,6 March,male,,  ,Spain,307,,France,priest,,,,,1834,pope-gregory-xvi
Saint Patroclus of Troyes,21 January,male,,      ,,259,,beheaded,laity,,,,,,
Blessed Patrick Salmon,4 July,male,,  ,Ireland,,,,priest,1929,pope-pius-xi,1929,pope-pius-xi,,
Blessed Francis Patrizzi,26 May,male,1266,   ,Italy,1328,,Italy,laity,,,1743,pope-benedict-xiv,,
Saint Anastasia the Patrician,10 March,female,,   ,,507,,,laity,,,,,,
Blessed Paul Himonoya,16 September,male,, ,Japanese,1628,,Japan,laity,1866,pope-pius-ix,1867,pope-pius-ix,,
Saint Patricia of Nicomedia,13 March,unknown,, ,,304,,martyred,laity,,,,,,
Saint Patrick,Ireland,male,390,                                                                                                                                                                                              ,Scotland,464,,Ireland,priest,,,,,,
Saint Patricia of Naples,25 August,female,,  ,Istanbul,665,,Italy,nun,,,,,,
Abraham the Patriarch,9 October,male,,             ,,,,,laity,,,,,,
Saint Paterniano,13 November,male,,          ,,348,,Italy,priest,,,,,,
Saint Patiens of Metz,8 January,male,,    ,,,,,priest,,,,,,
Saint Lawrence Giustiniani,8 January,male,1381,                      ,Italy,1455,,Italy,priest,,,1524,pope-clement-vii,1724,pope-benedict-xiii
Blessed William Patenson,22 January,male,,      ,England,1592,,England,laity,1929,pope-pius-xi,1929,pope-pius-xi,,
Saint Poemen,27 August,male,,  ,,450,,,laity,,,,,,
Saint Patapius of Constantinople,8 December,male,,Egypt,,,,,laity,,,,,,
Blessed Teresa Maria Mastena,28 June,female,1881,     ,Italy,1951,,heart attack,nun,2002,pope-saint-john-paul-ii,2005,pope-benedict-xvi,,
Venerable Joseph-Amand Passerat,30 April,male,1772, ,France,1858,,Belgium,laity,1980,pope-saint-john-paul-ii,,,,
Saint Pastor of Alcala,6 August,male,295,      ,Spain,304,,Spain,laity,,,,,,
Blessed Pascual Araguàs y Guàrdia,13 August,male,1899,   ,Spain,1936,,Spain,priest,2004,pope-saint-john-paul-ii,2005,pope-benedict-xvi,,
Blessed Silvestre Arnau y Pascuet,13 August,male,1911,   ,Spain,1936,,Spain,priest,2004,pope-saint-john-paul-ii,2005,pope-benedict-xvi,,
Saint Paschasius of Salamanca,13 November,male,,  ,Spain,437,,martyred,laity,,,,,,
Saint Paschasius Radbertus,26 April,male,790,         ,France,860,,,laity,,,,,,
Saint Paschasius of Vienne,22 February,male,, ,,312,,,priest,,,,,,
Saint Paschasia of Dijon,9 January,female,,,,178,,France,nun,,,,,,
Blessed Peter Paschal,6 December,male,1227,      ,Spain,1300,,Spain,priest,,,1670,pope-clement-x,,
Pope Saint Paschal I,11 February,male,,       ,Italy,824,,,laity,,,,,,
Saint Parthenius of Rome,19 May,male,250,  ,Armenia,,"thrown into a bonfire, he was unburned","thrown into a bonfire, he was unburned",laity,,,,,,
Blessed Teresa Grillo Michel,25 January,female,1855,    ,Italy,1944,,Italy,nun,1985,pope-saint-john-paul-ii,1998,pope-saint-john-paul-ii,,
Blessed John of Parma,Parma,unknown,1209,       ,Italy,1289,,Italy,priest,,,1777,pope-pius-vi,,
Martyrs of September,2 September,unknown,,           ,,1792,,massacred by a mob,priest,1926,pope-pius-xi,1926,pope-pius-xi,,
Saint Germanus of Paris,28 May,male,496,              ,France,576,,France,priest,,,,,754,pope-stephen-ii
Saint Conrad of Parzham,21 April,male,1818,                         ,Germany,1894,,Germany,laity,1928,pope-pius-xi,1930,pope-pius-xi,1934,pope-pius-xi
Saint Pascal Baylon,17 May,male,1540,                              ,Spain,1592,,Spain,laity,,,1618,pope-paul-v,1690,pope-alexander-viii
Venerable Marguerite Parigot,6 February,female,1619,,France,1648,,France,laity,1905,pope-saint-pius-x,,,,
Saint Parmenas the Deacon,28 July,male,, ,,98,,Philippi,priest,,,,,,
Saint Petca Parasceva,14 October,female,,                ,,,at Katikratia of natural causes,at Katikratia of natural causes,laity,,,,,,
Saint Parasceva of Rome,26 July,female,,                        ,,180,,beheaded,laity,,,,,,
Saint Paregorius of Patara,18 February,unknown,, ,,260,,,laity,,,,,,
Blessed Marie Leonie Paradis,3 May,female,1840,    ,Canada,1912,,Canada,nun,1981,pope-saint-john-paul-ii,1984,pope-saint-john-paul-ii,,
Saint Paragnus of Samosata,9 December,unknown,,,,297,,crucified,laity,,,,,,
Saint William of Eskilsoe,6 April,male,1125,             ,France,1203,,Denmark,priest,,,,,1224,pope-honorius-iii
Blessed Valentin Paquay,1 January,male,1828,   ,Belgium,1905,,Belgium,priest,1970,pope-saint-paul-vi,2003,pope-saint-john-paul-ii,,
Saint Papius,28 November,unknown,,,,303,,Sicily,laity,,,,,,
Saint Peter of Pappacarbone,4 March,male,,     ,Italy,1123,,,priest,,,,,1893,pope-leo-xiii
Saint Papias of Africa,14 July,unknown,,,,,"unknown location in Afria, date unknown",Afria,laity,,,,,,
Saint Stanislaw of Jesus and Mary,17 September,male,1631,            ,Poland,1701,,Poland,priest,1992,pope-saint-john-paul-ii,2001,pope-benedict-xvi,2016,pope-francis
Saint Callinicus of Paphlagonia,29 July,unknown,, ,Asia Minor,,,burned to death,laity,,,,,,
Saint Servulus of Rome,23 December,male,,       ,Italy,590,,,laity,,,,,,
Blessed Paolo Manna,15 September,male,1872,    ,Italy,1952,,Italy,priest,1989,pope-saint-john-paul-ii,2001,pope-saint-john-paul-ii,,
Saint Auguste Chapdelaine,28 February,male,1814,          ,France,1856,,China,priest,1899,pope-leo-xiii,1900,pope-leo-xiii,2000,pope-saint-john-paul-ii
Saint Francis of Paola,2 April,male,1416,                                                                                     ,Italy,1507,,France,laity,,,,,1519,pope-leo-x
Saint Mary Ann de Paredes,Lily,female,1618,               ,Ecuador,1645,,Ecuador,nun,1776,pope-pius-vi,1853,pope-blessed-pius-ix,1950,pope-venerable-pius-xii
Venerable Teresa Valse Pantellini,10 October,female,1878,          ,Italy,1907,,tuberculosis,laity,1982,pope-saint-john-paul-ii,,,,
Saint Papinianus of North Africa,28 November,male,, ,North Africa,,,,priest,,,,,,
Saint Panteleon,27 July,male,,                             ,,305,,beheaded,priest,,,,,,
Saint Pantagapes the Martyr,2 September,unknown,, ,,,,,laity,,,,,,
Saint Astricus of Esztergom,12 November,male,,    ,Bohemia,1035,,,laity,,,,,,
Blessed Anastazy Jakub Pankiewicz,20 April,unknown,1882,    ,Poland,1942,,Germany,laity,,,1999,pope-saint-john-paul-ii,,
Saint Pancras of Rome,12 May,male,290,                                                             ,,304,,Italy,laity,,,,,,
Saint Pancharius of Nicomedia,19 March,male,,,,303,,beheaded,nun,,,,,,
Blessed Magdalen Panattieri,13 October,female,1443,Turino,Italy,1503,,Italy,laity,,,1827,pope-leo-xii,,
Blessed Virgin Mary,8 September,unknown,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,unknown,unknown,laity,,,,,,
Saint Papias of Rome,29 January,unknown,, ,,303,,Italy,laity,,,,,,
Saint Zoe of Pamphylia,2 May,female,,  ,,127,,burned to death,laity,,,,,,
Saint John Bread-and-Water,14 December,male,,,,1150,,,laity,,,,,,
Saint John the Syrian of Pinna,19 March,male,, ,Syrian,,,Italy,laity,,,,,,
Saint Richard Pampuri,1 May,male,1897,                      ,Italy,1930,,tuberculosis,nun,1978,pope-saint-paul-vi,1981,pope-saint-john-paul-ii,1989,pope-saint-john-paul-ii
Saint Theodulus of Pamphylia,2 May,male,,  ,,127,,burned to death,laity,,,,,,
Saint Pamphilus of Sulmona,28 April,male,,   ,,700,,,priest,,,,,,
Saint Exsuperius of Pamphylia,2 May,unknown,,  ,,127,,burned to death,laity,,,,,,
Saint Antoninus of Pamiers,2 September,male,,          ,France,,"stabbed in the area of his neck in Vallis Nobilis, Gaul (modern Saint-Antonin-Noble-Val, France)",France,priest,,,,,,
Saint Pammachius,30 August,male,340,  ,,410,,Italy,laity,,,,,,
Saint Pamphilus of Rome,21 September,unknown,,,,,"on the Via Salaria Antica, Rome, Italy, date unknown",Italy,laity,,,,,,
Blessed Palumbus of Subiaco,4 January,male,,,,1070,,,priest,,,,,,
Saint Palmatius of Rome,10 May,male,,  ,,232,,Italy,laity,,,,,,
Saint Catherine of Palma,5 April,female,1533,    ,Spain,1574,,Spain,laity,,,1792,pope-pius-vi,1930,pope-pius-xi
Saint Palladia,24 May,unknown,,,,,,,laity,,,,,,
Saint Vincent Pallotti,22 January,male,1795,             ,Italy,1850,,Italy,priest,1932,pope-pius-xi,1950,pope-venerable-pius-xii,1963,pope-saint-john-xxiii
Saint James the Hermit,28 January,male,,,,,,,laity,,,,,,
Saint Epiphanius of Salamis,12 May,male,315,             ,,403,,,priest,,,,,,
Saint Joseph of Palestine,22 July,male,, ,,356,,Palestine,priest,,,,,,
Saint Benedict the Black,African,male,1526,                                         ,Italy,1589,,,laity,,,1743,pope-benedict-xiv,1807,pope-pius-viii
Saint Paldo,11 January,male,,Benevento,Italy,720,,,laity,,,,,,
Saint Bernard Valeara of Teramo,19 December,male,1050,      ,Italy,1122,,,priest,,,,,,
Blessed Francis Palau y Quer,20 March,male,1811,    ,Spain,1872,,Spain,nun,1986,pope-saint-john-paul-ii,1988,pope-saint-john-paul-ii,,
Saint Palaemon of Thebaid,25 January,male,,  ,,325,,Egypt,laity,,,,,,
Blessed Thomas Palaser,8 September,male,1570,   ,England,1600,,England,laity,1986,pope-saint-john-paul-ii,1987,pope-saint-john-paul-ii,,
Saint Lazarus Zographos,17 November,male,,   ,,867,,,laity,,,,,,
Blessed Francis Page,20 April,male,1575,  ,Belgium,1602,,England,priest,1929,pope-pius-xi,1929,pope-pius-xi,,
Saint Justina of Padua,7 October,female,,                   ,,304,,martyred,nun,,,,,,
Saint John Payne,2 April,male,,                  ,England,1582,,England,priest,,,1970,pope-saint-paul-vi,,
Blessed Antony Page,20 April,unknown,1571,   ,England,1593,,England,laity,1986,pope-saint-john-paul-ii,1987,pope-saint-john-paul-ii,,
Saint Pambo of the Nitrian Desert,18 July,male,,  ,,375,,,laity,,,,,,
Saint Quadragesimus of Policastro,26 October,male,,,,590,,,laity,,,,,,
Saint Quadratus,26 May,male,,,,,"Africa, date unknown",Africa,laity,,,,,,
Saint Quadratus of Anatolia,26 March,male,,    ,,304,,,priest,,,,,,
Saint Quintian,31 December,unknown,,,,,,,laity,,,,,,
Saint Quadratus the Apologist,26 May,male,,   ,,,,,priest,,,,,,
Saint Quadratus of Herbipolis,7 May,male,,,,257,,Asia Minor,laity,,,,,,
Saint Quieta of Dijon,28 November,female,,,,,,France,laity,,,,,,
Saint Kenan of Damleag,24 November,male,, ,Irish,489,,,priest,,,,,,
Saint Kentigerna,7 January,female,,    ,Ireland,734,,Scotland,nun,,,,,,
Saint Bruno of Querfort,Apostle,male,970,              ,Germany,1009,,Prussians,laity,,,,,,
Saint Quentin,31 October,male,,                       ,Italy,287,,France,laity,,,,,,
Saint Kea,5 November,male,,England,,,,,laity,,,,,,
Saint Kieran the Younger,Clonmacnoise,male,516,               ,Ireland,556,,,laity,,,,,,
Saint Quintius of Capua,5 September,unknown,,,,,"Capua, Italy",Italy,laity,,,,,,
Saint Albert Quadrelli,4 July,male,,Rivolta d’Adda,Italy,1179,,Italy,priest,,,,,,
Saint Quadratus of Utica,21 August,male,,,,,,,priest,,,,,,
Saint Cyriacus of Iconium,16 June,male,301,                      ,,304,,skull,priest,,,,,,
Saint Quirinus of Sescia,4 June,male,,           ,,308,,millstone,priest,,,,,,
Blessed Stephana de Quinzanis,2 January,female,1457,        ,Italy,1530,,Italy,nun,,,1740,pope-benedict-xiv,,
Saint Kevoca of Kyle,13 March,unknown,,   ,,,,,laity,,,,,,
Saint Quintus of Capua,10 May,unknown,,  ,Italy,,"martyred at Rome, Italy, date unknown",Italy,laity,,,,,,
Saint Quintilis of Nicomedia,8 March,unknown,,,,,,,laity,,,,,,
Saint Quintus of Africa,4 January,unknown,,,,484,,,laity,,,,,,
Saint Quintilian of Saragossa,16 April,unknown,, ,,304,,Spain,laity,,,,,,
Saint Quintilla of Sorrento,19 March,unknown,,,,,"Sorrento, Italy, date unknown",Italy,nun,,,,,,
Blessed Luigi Beltrame Quattrocchi,9 November,male,1880,       ,Italy,1951,,heart attack,laity,2001,pope-saint-john-paul-ii,2001,pope-saint-john-paul-ii,,
Saint Quodvultdeus,19 February,male,,      ,,450,,Italy,priest,,,,,,
Saint Quintius the Martyr,19 March,unknown,, ,,,"Sorrento, Italy, date unknown",Italy,nun,,,,,,
Saint Quartus,18 December,unknown,,,,,martyred in northwestern Africa,Africa,laity,,,,,,
Saint Quartus,3 November,unknown,,,,,,,laity,,,,,,
Saint Famianus of Compostela,8 August,male,1090,Cologne,Germany,1150,,Italy,laity,,,,,,
Saint Walfrid,15 February,male,,    ,Italy,765,,Italy,priest,,,,,1861,pope-blessed-pius-ix
Saint Quartus of Capua,10 May,unknown,,  ,Italy,,"martyred at Rome, Italy, date unknown",Italy,laity,,,,,,
Saint Quartilla of Sorrento,19 March,unknown,,,,,"Sorrento, Italy, date unknown",Italy,nun,,,,,,
Saint Quintus,18 December,unknown,, ,,255,,Africa,laity,,,,,,
Blessed Rabanus Maurus,4 February,male,776,           ,Germany,856,,Germany,priest,,,,,,
Saint Rachildis of Saint-Gall,23 November,unknown,,,,946,,,laity,,,,,,
Saint Paschasius Radbertus,26 April,male,790,         ,France,860,,,laity,,,,,,
Saint Radegunde,13 August,female,518,                        ,Saxony,587,,France,laity,,,,,,
Saint Ambrose Edward Barlow,10 September,male,1585,        ,England,1641,,England,priest,1929,pope-pius-xi,1929,pope-pius-xi,1970,
Saint Racho of Autun,25 January,male,,,,660,,,priest,,,,,,
Rachel the Matriarch,1 November,male,, ,,,,,nun,,,,,,
Saint Radbod of Utrecht,29 November,male,850,     ,France,917,,the Netherlands,priest,,,,,,
Blessed Aloysius Luis Rabata,8 May,unknown,1430,    ,Sicily,1490,,Italy,priest,,,1841,pope-gregory-xvi,,
Saint Reinhold of Cologne,7 January,male,,             ,,960,,Germany,laity,,,,,,
Blessed María Rafols-Bruna,30 August,female,1781,   ,Spain,1853,,Spain,nun,1991,pope-saint-john-paul-ii,1994,pope-saint-john-paul-ii,,
Blessed Rafaela Ybarra Arambarri de Villalonga,23 February,female,1843,         ,Spain,1900,,Spain,nun,1970,pope-saint-paul-vi,1984,pope-saint-john-paul-ii,,
Saint Rafqa,Lily,female,1832,            ,Lebanon,1914,,Lebanon,nun,1982,pope-saint-john-paul-ii,1985,pope-saint-john-paul-ii,2001,pope-saint-john-paul-ii
Saint Rafaela Porras y Ayllón,6 January,female,1850,    ,Spain,1925,,Italy,nun,1949,pope-pius-xii,1952,pope-venerable-pius-xii,1977,pope-paul-vi
Saint Astricus of Esztergom,12 November,male,,    ,Bohemia,1035,,,laity,,,,,,
Catholic Encyclopedia – Blessed John Ruysbroeck,1913,male,,,,,,,priest,,,,,,
Saint Rutulus of North Africa,18 February,unknown,,African,,,North Africa,North Africa,laity,,,,,,
Ruth the Matriarch,1 November,female,,    ,,,,,laity,,,,,,
Saint Rustica of Rome,31 December,unknown,,,,,"relics enshrined in the catacombs of Via Salaria, Rome, Italy",Italy,laity,,,,,,
Saint Fulgentius of Ruspe,1 January,male,465,                  ,Tunisia,533,,,priest,,,,,,
Saint Ruggero of Canne,30 December,male,,      ,,1129,,,priest,,,,,,
Blessed John Rugg,15 November,male,,   ,English,1539,,England,priest,,,1895,pope-leo-xiii,,
Saint Rumwold of Buckingham,3 November,male,662,      ,England,662,,England,priest,,,,,,
Saint Rufus of Rome,17 October,unknown,,    ,Greek,107,,Italy,laity,,,,,,
Saint Rufus,28 November,male,,,,304,,,laity,,,,,,
Saint Rufus of Philadelphia,1 August,unknown,, ,,,"martyred in Philadelphia  (modern Alasehir, Turkey)",martyred,laity,,,,,,
Saint Rufinus of Ancyra,4 September,unknown,,,,,"Ancyra, Galatia","Ancyra, Galatia",laity,,,,,,
Saint Rufinus of Soissons,14 June,male,,    ,,287,,France,laity,,,,,,
Saint Rufinus the Potter,28 February,unknown,,,,250,,martyred,laity,,,,,,
Saint Rufinus of Assisi,11 August,male,,           ,,,"drowned in the river Chiascio in the town of Costano, Italy (part of modern Bastia Umbra)",Bastia Umbra,priest,,,,,,
Blessed Peter Cambiano,2 February,male,1320,       ,Italy,1365,,Italy,laity,,,1856,pope-blessed-pius-ix,,
Saint Joaquín Royo Pérez,28 October,male,1691,    ,Spain,1748,,China,priest,1893,pope-leo-xiii,1893,pope-leo-xiii,2000,pope-saint-john-paul-ii
Blessed Rudolph Aquaviva,25 July,male,1550,           ,Italy,1583,,India,laity,1741,pope-benedict-xiv,1893,pope-leo-xiii,,
Saint Ruellinus of Treguier,28 February,male,,,,,,,priest,,,,,,
Blessed Rudolph,1 August,male,,,,1076,,,laity,,,1600,,,
Blessed Scubilion Rousseau,13 April,male,1797,   ,France,1867,,,priest,1984,pope-saint-john-paul-ii,1989,pope-saint-john-paul-ii,,
Blessed Françoise Pagis épouse Railleau,1 February,female,1732, ,France,1794,,France,laity,1983,pope-saint-john-paul-ii,1984,pope-saint-john-paul-ii,,
Saint Ouen of Rouen,24 August,male,605,       ,France,684,,France,priest,,,,,,
Venerable Félix de Jesús Rougier,17 December,unknown,1859,,France,1938,,Mexico,priest,2000,pope-saint-john-paul-ii,,,,
Saint Hugh of Rouen,9 April,male,,   ,,730,,France,priest,,,,,,
Saint Leo of Rouen,1 March,male,856,   ,France,900,,France,priest,,,,,,
Saint Sergius of Moscow,25 September,male,1314,     ,Russia,1392,,,laity,,,,,1449,pope-nicholas-v
Saint Roswinda,13 December,female,, ,,,,,nun,,,,,,
Saint Abraham of Rostov,29 October,male,,    ,Russia,,"at the monastery of Rostov, Russia of natural causes",Russia,laity,,,,,,
Saint Fanchea of Rossory,1 January,female,,     ,Ireland,585,,,nun,,,,,,
Saint Nilus the Younger,26 September,male,910,       ,Italy,1005,,Italy,laity,,,,,,
Saint Bartholomew of Rossano,11 November,male,970,   ,Italy,1065,,Italy,laity,,,,,,
Saint Mary Joseph Rosello,7 December,female,1811,  ,Italy,1888,,Italy,priest,,,1938,pope-pio-xi,1949,pope-venerable-pius-xii
Saint Rudesind,1 March,male,907,          ,Spain,977,,Spain,priest,,,,,1195,pope-celestine-iii
Blessed Joscius Roseus,30 November,male,, ,,1186,,,laity,,,,,,
Blessed Antonio Rosmini-Serbati,1 July,male,1797,                  ,Italy,1855,,Italy,nun,2006,pope-benedict-xvi,2007,pope-benedict-xvi,,
Saint Rose Venerini,7 May,female,1656,        ,Italy,1728,,Italy,nun,1949,pope-venerable-pius-xii,1952,pope-venerable-pius-xii,2006,pope-benedict-xvi
Saint Rose Philippine Duchesne,18 November,female,1769,                          ,France,1852,,Missouri,nun,1935,pope-pius-xi,1940,pope-venerable-pius-xii,1988,pope-saint-john-paul-ii
Saint Rose of Viterbo,6 March,female,1234,                 ,Italy,1252,,,laity,,,,,1457,pope-callistus-iii
Blessed Anna Rosa Gattorno,6 May,female,1831,  ,Italy,1900,,Italy,nun,1988,pope-saint-john-paul-ii,2000,pope-saint-john-paul-ii,,
Blessed Rose-Chretien de Neuville,17 July,female,1741, ,France,1794,,France,nun,1905,pope-saint-pius-x,1906,pope-saint-pius-x,,
Saint Rose of Lima,23 August,female,1586,                                                                      ,Peru,1617,,Peru,laity,,,1668,pope-clement-ix,1671,pope-blessed-gregory-x
Blessed Elizabeth Rose,13 December,female,, ,,1130,,,nun,,,,,,
Saint Cronan of Roscrea,28 April,male,,       ,Ireland,626,,,laity,,,,,,
Blessed Edoardo Giuseppe Rosaz,3 May,unknown,1830,  ,Italy,1903,,Italy,laity,1986,pope-saint-john-paul-ii,1991,pope-saint-john-paul-ii,,
Saint Agostino Roscelli,7 May,male,1818,        ,Italy,1902,,Italy,nun,1989,pope-saint-john-paul-ii,1995,pope-saint-john-paul-ii,2001,pope-saint-john-paul-ii
Blessed Bartholomew Longo,5 October,male,1841,                     ,Italy,1926,,,priest,1975,pope-saint-paul-vi,1980,pope-saint-john-paul-ii,,
Blessed Rosalina of Villeneuve,17 January,female,1267,         ,France,1329,,,nun,,,1857,pope-blessed-pius-ix,,
Saint Humility,22 May,female,1226,   ,Italy,1310,,Italy,nun,,,,,1720,pope-clement-xi
Saint Rosalia,4 September,female,1130,                                   ,Sicily,1160,,Italy,laity,,,,,,
Saint Mary di Rosa,15 December,female,1813,      ,Italy,1855,,Italy,priest,1932,pope-pius-xi,1940,pope-venerable-pius-xii,1954,pope-venerable-pius-xii
Saint Eufrasia of the Sacred Heart of Jesus Eluvathingal,29 August,female,1877,   ,India,1952,,India,nun,2002,pope-saint-john-paul-ii,2006,pope-benedict-xvi,2006,pope-francis
Saint Rosa Chen Aijieh,5 July,female,1878, ,China,1900,,China,laity,1955,pope-pius-xii,1955,pope-pius-xii,2000,pope-saint-john-paul-ii
Venerable Carla Ronci,11 April,female,1936,,Italy,1970,,Italy,laity,1997,pope-saint-john-paul-ii,,,,
Saint Augustine Tchao,21 March,male,1746,          ,China,1815,,China,priest,,,1900,pope-leo-xiii,2000,pope-saint-john-paul-ii
Pope Saint John XXIII,11 October,male,1881,                                ,Italy,1963,,cancer,priest,1999,pope-saint-john-paul-ii,2000,pope-saint-john-paul-ii,2014,pope-francis
Saint Ronan of Iona,18 August,male,,,,660,,,laity,,,,,,
Saint Ronald of Orkney,20 August,male,1100,Norway,,1158,,Scotland,laity,,,,,1192,pope-celestine-iii
Saint Ronan of Lismore,9 February,male,,,,,,,priest,,,,,,
Blessed Maria Crocifissa Curcio,4 July,female,1877,    ,Sicily,1957,,Italy,nun,2002,pope-saint-john-paul-ii,2005,pope-benedict-xvi,,
Blessed Teodor Jurij Romzha,1 November,male,1911,      ,Ukraine,1947,,Ukraine,priest,2001,pope-saint-john-paul-ii,2001,pope-saint-john-paul-ii,,
Saint Romulus of Fiesole,6 July,male,,     ,,90,,martyred,priest,,,,,,
Saint Romulus the Martyr,17 February,unknown,,          ,,304,,Italy,laity,,,,,,
Saint Romulus of Caesarea,24 March,unknown,, ,,,,,laity,,,,,,
Saint Romulus,28 December,male,,   ,,450,,,priest,,,,,,
Saint Romula of Rome,23 July,female,, ,,580,,,laity,,,,,,
Saint Romulus of Berry,25 December,unknown,,,,700,,,priest,,,,,,
Saint Romulus of North Africa,24 March,male,, ,,,,,laity,,,,,,
Saint Romuald,19 June,male,951,                              ,Italy,1027,,Italy,laity,,,,,1582,pope-gregory-xiii
Saint Modoald of Trier,12 May,male,,     ,France,640,,Germany,priest,,,,,,
Saint Toribio Romo González,25 February,male,1900,        ,Mexico,1928,,Mexico,priest,1992,pope-saint-john-paul-ii,1992,pope-saint-john-paul-ii,,
Saint Zoe of Rome,5 July,female,,,,286,,burned to death,laity,,,,,,
Saint Valentine of Rome,14 February,male,,                                                                 ,,269,,Rome,priest,,,,,,
Saint Theopistus of Rome,20 September,male,,,,188,,Italy,laity,,,,,,
Saint Theopistes of Rome,20 September,unknown,,,,188,,Italy,laity,,,,,,
Saint Tatiana of Rome,12 January,female,,        ,,226,,Italy,laity,,,,,,
Saint Theodulus of Rome,3 May,unknown,,   ,,113,,Italy,priest,,,,,,
Saint Prisca of Rome,18 January,unknown,,        ,,275,,Italy,laity,,,,,,
Saint Silvia of Rome,3 November,female,515,    ,Sicily,592,,Italy,nun,,,,,,
Saint Pigmenius of Rome,24 March,unknown,,,,362,,drowned,priest,,,,,,
Saint Marinus of Rome,26 December,male,,,,283,,beheaded,laity,,,,,,
Saint Parasceva of Rome,26 July,female,,                        ,,180,,beheaded,laity,,,,,,
Saint Severus of Barcelona,6 November,male,,,,633,,driven,priest,,,,,,
Saint Moses of Rome,25 November,male,, ,Italy,251,,prison,priest,,,,,,
Saint Lea of Rome,22 March,female,,      ,,,,,laity,,,,,,
Saint Pamphilus of Rome,21 September,unknown,,,,,"on the Via Salaria Antica, Rome, Italy, date unknown",Italy,laity,,,,,,
Saint Hippolytus of Rome,13 August,male,,                                      ,,,"dragged or torn to death by horses outside Rome, Italy",Italy,laity,,,,,,
Saint Hermes the Exorcist,31 December,unknown,,   ,,270,,,priest,,,,,,
Saint Fortunatus of Rome,27 February,unknown,, ,,,"Rome, Italy",Italy,laity,,,,,,
Saint Galla of Rome,6 April,female,,     ,,550,,breast cancer,nun,,,,,,
Saint Lawrence of Rome,10 August,male,,                                                                                                                                                                             ,Spain,258,,Italy,laity,,,,,,
Saint Firmus of Rome,2 February,unknown,,,,212,,Italy,laity,,,,,,
Saint Genesius of Rome,25 August,male,,                            ,,303,,Italy,laity,,,,,,
Saint Felix of Rome,14 January,unknown,,,,,,,priest,,,,,,
Saint Felicity of Rome,23 November,female,,                         ,,165,,Italy,laity,,,,,,
Saint Eventius of Rome,3 May,unknown,,   ,,113,,Italy,priest,,,,,,
Saint Domnio of Rome,28 December,male,,   ,,,,,priest,,,,,,
Saint Emerita of Rome,22 September,female,,  ,,259,,Italy,nun,,,,,,
Saint Digna of Rome,22 September,female,, ,,259,,Italy,nun,,,,,,
Saint Balbina of Rome,31 March,female,,                ,,130,,Italy,laity,,,,,,
Saint Crescentian of Rome,12 August,unknown,, ,,304,,Italy,laity,,,,,,
Pope Saint Clement I,23 November,male,,                                                     ,Italy,101,,martyred,priest,,,,,,
Saint Antigonus of Rome,27 February,unknown,, ,,,,,laity,,,,,,
Saint Abundius of Rome,27 February,unknown,, ,,,,,laity,,,,,,
Saint Alexander of Rome,3 May,unknown,,   ,,113,,Italy,priest,,,,,,
Saint Agapitus of Rome,20 September,male,,,,188,,Italy,laity,,,,,,
Saint Gaspare Bufalo,2 January,male,1786,            ,Italy,1837,,cholera,priest,1891,pope-leo-xiii,1904,pope-saint-pius-x,1954,pope-venerable-pius-xii
Saint Rumold,24 June,male,,           ,England,775,,Belgium,priest,,,,,,
Saint Romaric of Remiremont,8 December,male,,   ,,653,,,laity,,,,,1051,pope-leo-ix
Saint Romanus Ostiarius,9 August,male,,          ,,258,,Italy,laity,,,,,,
Saint Romanus of Rouen,23 October,male,,   ,,639,,,priest,,,,,,
Saint Romanus of Le Mans,24 November,male,,  ,Italy,385,,France,priest,,,,,,
Saint Romanus of Condat,28 February,male,390,              ,France,465,,,nun,,,,,,
Saint Romanus the Wonder Worker,9 February,unknown,,,,,,,laity,,,,,,
Saint Romanus of Samosata,9 December,unknown,,,,297,,crucified,laity,,,,,,
Blessed Humbert of Romans,14 July,male,1193,France,,1277,,France,laity,,,,,,
Saint Vincent Romano,20 December,male,1751,     ,Italy,1831,,pneumonia,priest,1895,pope-leo-xiii,1963,pope-paul-vi,2018,pope-francis
Saint Benildus,13 August,male,1805,   ,France,1862,,France,laity,1928,pope-pius-xi,1948,pope-venerable-pius-xii,1967,pope-saint-paul-vi
Saint Romana,23 February,female,308,  ,,324,,Italy,laity,,,,,,
Saint Anthony the Roman,3 August,male,1086,Rome,Italy,1148,,Russia,laity,,,,,,
Blessed Roman Lysko,14 October,male,1914,     ,Ukraine,1949,,Ukraine,laity,2001,pope-saint-john-paul-ii,2001,pope-saint-john-paul-ii,,
Saint Augusto Andrés,9 October,male,1910,,Spain,1934,,Spain,laity,1989,pope-saint-john-paul-ii,1990,pope-saint-john-paul-ii,1999,pope-saint-john-paul-ii
Saint Roman Adame Rosales,21 April,male,1859,     ,Mexico,1927,,Mexico,priest,1992,pope-saint-john-paul-ii,1992,pope-saint-john-paul-ii,2000,pope-saint-john-paul-ii
Blessed Romeo of Limoges,5 March,male,,,,1380,,pilgrimage,laity,,,,,,
