Name_of_Saint,Memorial,gender,birth_year,place_of_birth,country,death_year,death_place,death_country,vocation,veneration_year,Venerated_by,beatified_year,beatified_by,canonized_year,canonized_by
Saint Aurelian of Arles,16 June,male,,   ,,551,,France,priest,,,,,,
Saint Harlindis of Arland,22 March,female,,,,745,,,nun,,,,,,
Pope Saint Evaristus,27 October,male,,               ,,107,,,laity,,,,,,
Saint Macarius of Petra,20 June,male,,,,350,,Africa,priest,,,,,,
Saint Ariston of Campania,2 July,unknown,,,,284,,Italy,laity,,,,,,
Saint Aristarchus of Thessalonica,4 August,male,,      ,,,,Italy,priest,,,,,,
Saint Arianell,27 June,female,,Wales,,,,,nun,,,,,,
Blessed Arigius of Gap,1 May,male,535,  ,,604,,,priest,,,1903,pope-saint-pius-x,,
Saint Ariadne,18 September,female,,      ,,130,,,laity,,,,,,
Saint Aria of Rome,21 August,unknown,,,,,"Rome, Italy",Italy,laity,,,,,,
Blessed Ida of Argensolles,13 January,female,,,,1226,,,nun,,,,,,
Saint Osmanna,9 September,female,,   ,Ireland,650,,France,nun,,,,,,
Saint Donatus of Arezzo,7 August,male,,                    ,,362,,,priest,,,,,,
Saint Argeus of Tomi,2 January,male,,  ,,320,,beheaded,laity,,,,,,
Saint Mark of Arethusa,29 March,male,, ,,362,,Julian the Apostate,priest,,,,,,
Saint Ardo of Aniane,7 March,male,,   ,France,,,,laity,,,,,,
Saint Arethas,27 July,unknown,427,  ,,523,,Arabia,laity,,,,,,
Saint Declan of Ardmore,24 July,male,,    ,Ireland,,,,priest,,,,,,
Saint Aretas of Rome,1 October,unknown,,,,,"Rome, Italy",Italy,laity,,,,,,
Saint Arcontius of Capua,5 September,unknown,,,,,,,laity,,,,,,
Saint Mel of Ardagh,6 February,male,,       ,,489,,,laity,,,,,,
Saint Namphanion the Archmartyr,4 July,unknown,,Carthaginian,,180,,Madaura,laity,,,,,,
Saint Arcontius of Viviers,10 January,male,,    ,,745,,France,priest,,,,,,
Saint Archippus of Colossi,20 March,male,,     ,Laodicea,,,,laity,,,,,,
Saint Armogastes of Africa,29 March,male,,     ,,460,,North Africa,laity,,,,,,
Saint Archelaus of Mesopotamia,26 December,male,,     ,,,,,priest,,,,,,
Saint Archelais the Martyr,18 January,female,,  ,Italy,293,,Italy,laity,,,,,,
Blessed Archangela Girlani,25 January,female,1460,   ,Italy,1495,,Italy,nun,,,1864,pope-blessed-pius-ix,,
Raphael the Archangel,29 September,male,,                                                                             ,,,hasn’t,hasn’t,laity,,,,,,
Saint Ardanus of Tournus,11 February,male,,   ,,1057,,,laity,,,,,,
Michael the Archangel,29 September,male,,                                                                                                                                                                                                                                                                    ,,,hasn’t,hasn’t,priest,,,,,,
Gabriel the Archangel,29 September,male,,                                                               ,,,hasn’t,hasn’t,laity,,,,,,
Saint Arcangelo Tadini,20 May,male,1846,                       ,Italy,1912,,Italy,priest,1998,pope-saint-john-paul-ii,1999,pope-saint-john-paul-ii,2009,pope-benedict-xvi
Saint Arcanus of Sansepolcro,1 September,male,,Italy,,1050,,,laity,,,,,,
Saint Arcadius of Mauretania,12 January,male,,        ,,302,,Algiers,laity,,,,,,
Saint Arcadius of Salamanca,13 November,male,,  ,Spain,437,,,laity,,,,,,
Saint Arcadius of Bourges,1 August,male,, ,France,549,,,priest,,,,,,
Saint Arbeo of Freising,4 May,male,723,Meran,Italy,783,,,priest,,,,,,
Saint Peter Arbues,17 September,male,1442,    ,Spain,1485,,Spain,laity,,,1662,pope-alexander-vii,1867,pope-blessed-pius-ix
Saint Arator of Verdun,6 September,male,,,,460,,,priest,,,,,,
Saint Arbogast of Strasbourg,21 July,male,,        ,Ireland,678,,,priest,,,,,,
Saint Aquilinus of Milan,29 January,male,,    ,Germany,650,,Italy,priest,,,,,,
Saint Aquilinus of Africa,4 January,unknown,, ,,484,,,laity,,,,,,
Saint Paulinus of Aquileia,28 January,male,726,            ,Italy,804,,,laity,,,,,,
Saint Prosper of Aquitaine,7 July,male,390,France,,436,,,laity,,,,,,
Saint Raynerius of Aquila,30 December,male,,,,1077,,,priest,,,,,,pope-honorius-iii
Saint Aquilina of Syria,13 June,female,,      ,,293,,beheaded,laity,,,,,,
Saint Chromatius of Aquileia,2 December,male,,      ,Italy,407,,Italy,priest,,,,,,
Saint Maximus of Aquila,20 October,male,228,     ,Italy,250,,Italy,laity,,,,,,
Saint Aquila of Egypt,20 May,unknown,,Egyptian,,,,,laity,,,,,,
Saint Aquila the Tent Maker,8 July,unknown,,         ,,,"Rome, Italy",Italy,laity,,,,,,
Saint Aquila the Martyr,23 January,unknown,, ,,,"in Julia Caesarea, Mauritania, North Africa",North Africa,laity,,,,,,
Saint Aquila of Philadelphia,1 August,unknown,,  ,,,"in Philadelphia (modern Alasehir, Turkey)","in Philadelphia (modern Alasehir, Turkey)",laity,,,,,,
Saint Castor of Apt,21 September,male,,       ,France,420,,,priest,,,,,,
Saint Aquila of Caesarea,23 March,unknown,,,,,,,laity,,,,,,
Saint Stephen of Apt,6 November,male,975,France,,1046,,,priest,,,,,,
Saint Peter Balsam,11 January,male,,      ,Palestine,311,,crucified,laity,,,,,,
Saint Auspicius of Apt,2 August,male,,,,,,,priest,,,,,,
Saint Apronia,15 July,female,,Trier,Germany,420,,France,nun,,,,,,
Saint Apronian the Executioner,2 February,male,,,,304,,Italy,laity,,,,,,
Saint Appian of Caesarea,2 April,male,287,           ,Asia Minor,306,,Palestine,laity,,,,,,
Saint Appian of Alexandria,30 December,unknown,,,,483,,Egypt,laity,,,,,,
Saint Apphia,22 November,unknown,,,,,,stoned to death,laity,,,,,,
Saint Appian of Comacchio,4 March,male,,  ,Italy,800,,Italy,laity,,,,,,
